method,gap_ms,error_type,position_bin,position_low,position_high,position_definition,angular_mae_deg,angular_mae_rad,circular_error_mean,count,magnitude_sum,magnitude_weighted_angular_mae_rad,magnitude_weighted_circular_error
global_local_affinity,1000,unit,3,0.3,0.4,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.99091007080827,1.5706376776017277,0.9998534518084637,1285000,512952.8252566711,1.565891329845422,0.9970757429325877
global_local_affinity,1000,unit,4,0.4,0.5,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.94993948573159,1.5699226059956712,0.9993141229151752,1285000,529335.3323621757,1.5651861251698351,0.9966392123967394
global_local_affinity,1000,unit,5,0.5,0.6,0=first missing frame/left boundary; 1=last missing frame/right boundary,90.02470201903674,1.5712274583589778,1.000455290839505,1285000,474090.0990060214,1.5810857664609401,1.0081407096282595
global_local_affinity,1000,unit,6,0.6,0.7,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.78389569826406,1.5670245952018813,0.9971280495757723,1285000,415745.42217155447,1.5377943620828571,0.9745211355585014
global_local_affinity,1000,unit,7,0.7,0.8,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.95186505614608,1.569956213539383,0.9993643986323001,1285000,382584.2429246708,1.5506904717321897,0.9862123336856498
global_local_affinity,1000,unit,8,0.8,0.9,0=first missing frame/left boundary; 1=last missing frame/right boundary,90.0920847751235,1.57240350931176,1.0013893606852,1285000,375500.13632652257,1.5711006589584662,0.9999628868645617
global_local_affinity,1000,unit,9,0.9,1.0,0=first missing frame/left boundary; 1=last missing frame/right boundary,89.94389471777971,1.569817104892392,0.9992406227985244,1285000,336487.0295654623,1.5560039147300275,0.989893019916307
temporal_self_cross_attention,160,frequency,0,0.0,0.1,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.549216768275954,0.7251706342312532,0.3569797455484513,256000,72162.8403188179,0.55619416690421,0.24864143413762724
temporal_self_cross_attention,160,frequency,1,0.1,0.2,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.46683384048002,0.7237327808937815,0.355624196707271,128000,35573.995484339204,0.5716821778547541,0.25857842733762537
temporal_self_cross_attention,160,frequency,2,0.2,0.3,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.30508155746599,0.7209096709825689,0.353907015360659,256000,71011.79077211198,0.5531562006773225,0.24723262000847918
temporal_self_cross_attention,160,frequency,3,0.3,0.4,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.28925733488692,0.7206334861969957,0.3539400122850202,128000,35910.704459238994,0.5678096459330331,0.25538598951481284
temporal_self_cross_attention,160,frequency,4,0.4,0.5,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.364087776093626,0.7219395237767727,0.3550210992202628,256000,74712.935155133,0.5622403288377843,0.2529505455913024
temporal_self_cross_attention,160,frequency,5,0.5,0.6,0=first missing frame/left boundary; 1=last missing frame/right boundary,40.91235807813796,0.714055353218407,0.34990815322985874,256000,75158.96022334062,0.553139876125206,0.24959206332406317
temporal_self_cross_attention,160,frequency,6,0.6,0.7,0=first missing frame/left boundary; 1=last missing frame/right boundary,41.363689285497394,0.7219325688038303,0.3550224494761787,128000,37673.666213890974,0.5638845865624298,0.2569936140525719
